Date,Open,High,Low,Close,Adj Close,Volume
2017-10-03,5986.850098,5999.189941,5976.649902,5995.060059,5995.060059,1969320000
2017-10-04,5983.310059,6009.810059,5976.120117,5998.839844,5998.839844,1938440000
2017-10-05,6018.270020,6059.209961,6014.770020,6057.140137,6057.140137,1875670000
2017-10-06,6037.439941,6064.669922,6037.020020,6064.569824,6064.569824,1742470000
2017-10-09,6071.959961,6078.810059,6051.330078,6058.529785,6058.529785,1490620000
2017-10-10,6078.270020,6084.140137,6036.720215,6063.520020,6063.520020,1799400000
2017-10-11,6062.729980,6082.250000,6052.439941,6081.250000,6081.250000,1830360000
2017-10-12,6072.209961,6093.759766,6063.470215,6069.990234,6069.990234,2000470000
2017-10-13,6094.720215,6100.060059,6087.029785,6092.450195,6092.450195,1756150000
2017-10-16,6108.660156,6115.529785,6095.629883,6114.529785,6114.529785,1629480000
2017-10-17,6111.319824,6122.819824,6103.660156,6122.609863,6122.609863,1647240000
2017-10-18,6128.910156,6129.490234,6106.850098,6114.350098,6114.350098,1734030000
2017-10-19,6074.279785,6092.870117,6051.470215,6092.620117,6092.620117,1823860000
2017-10-20,6114.459961,6122.560059,6102.160156,6108.819824,6108.819824,1794810000
2017-10-23,6122.240234,6122.240234,6061.080078,6067.830078,6067.830078,1809320000
2017-10-24,6078.020020,6090.890137,6057.689941,6080.220215,6080.220215,1842640000
